ParticipantNumber,OrganizationName,BirthDate,HouseholdAddressType,HouseholdPostalCode,FamilySize,TotalInHousehold,HouseholdType,FamilySetting,IncomeCategory,HouseholdEconomicStatus,TotalVisits,FirstVisitDate
19524,BGCDC Walco,1979-05-12 00:00:00,,,,,,,,,5.0,2021-11-20
26769,BGCDC Walco,2012-12-08 00:00:00,,,,,,,,,1.0,2022-11-22
17738,BGCDC Walco,1981-06-15 00:00:00,,,,,,,,,0.0,
3615,BGCDC Allied Branch,2001-09-05 00:00:00,Apartment,53711,6.0,5.0,,Both Parents,"$24,999 and under",Economically Disadvantaged,0.0,
1510,BGCDC Allied Branch,1997-06-24 00:00:00,Home,53711,,1.0,,Both Parents,,Unknown,0.0,
2187,BGCDC Allied Branch,2001-03-23 00:00:00,Apartment,,,1.0,,Mother,,Unknown,0.0,
5972,BGCDC Allied Branch,2000-06-20 00:00:00,Home,53713,4.0,2.0,,Both Parents,Unknown,Economically Disadvantaged,0.0,
31397,BGCDC Allied Branch,2011-01-01 00:00:00,,,,,,,,,1.0,2023-12-21
31820,BGCDC Allied Branch,2011-01-01 00:00:00,,,,,,,,,0.0,
29756,BGCDC Allied Branch,,,,,,,,,,0.0,
28608,BGCDC Allied Branch,2007-10-13 00:00:00,Home,53713,,4.0,,,,Unknown,0.0,
32537,BGCDC Walco,2007-10-13 00:00:00,Home,53713,,4.0,,,,Unknown,0.0,
1503,BGCDC Taft Branch,2007-10-13 00:00:00,Home,53713,,4.0,,,,Unknown,0.0,
12328,BGCDC Sun Prairie,1992-07-28 00:00:00,,,,,,,,,1.0,2021-11-20
19441,BGCDC Sun Prairie,1992-07-28 00:00:00,,,,,,,,,0.0,
1471,BGCDC Taft Branch,1990-10-31 00:00:00,Home,53551,,5.0,,,,Unknown,0.0,
14272,BGCDC Sun Prairie,2014-07-12 00:00:00,,,,,,,,,2.0,2021-11-20
24023,BGCDC Allied Branch,2001-06-29 00:00:00,,,,,,,,,2.0,2022-01-15
6572,BGCDC Allied Branch,2009-08-07 00:00:00,Home,53711,6.0,5.0,Single Parent,Guardian,"$24,999 and under",Economically Disadvantaged,0.0,
20875,BGCDC Allied Branch,1985-07-09 00:00:00,,,,,,,,,2.0,2022-01-15
544,BGCDC Allied Branch,1998-11-04 00:00:00,Home,53711,,3.0,,,"$25,000-$49,999",Unknown,0.0,
15103,BGCDC Allied Branch,2005-01-16 00:00:00,,,,,,,,,0.0,
6574,BGCDC Allied Branch,2005-01-16 00:00:00,Home,53711,6.0,5.0,Single Parent,Guardian,"$24,999 and under",Economically Disadvantaged,0.0,
8447,BGCDC Taft Branch,2001-01-28 00:00:00,,,,2.0,,,,Unknown,0.0,
1484,BGCDC Taft Branch,1998-08-28 00:00:00,Home,53713,,4.0,,,,Unknown,0.0,
29060,BGCDC Allied Branch,,,,,,,,,,0.0,
18924,BGCDC Taft Branch,1977-11-19 00:00:00,Home,,,1.0,,,,Unknown,1.0,2021-11-19
546,BGCDC Allied Branch,1996-04-25 00:00:00,Home,53711,,3.0,,,"$25,000-$49,999",Unknown,0.0,
545,BGCDC Allied Branch,2006-11-23 00:00:00,Home,53711,6.0,5.0,Single Parent,Guardian,"$24,999 and under",Economically Disadvantaged,0.0,
980,BGCDC Taft Branch,1990-08-05 00:00:00,,,,3.0,,Unknown,,Unknown,0.0,
32286,BGCDC Allied Branch,2018-04-22 00:00:00,,,,,,,,,0.0,
29005,BGCDC Walco,1973-08-17 00:00:00,,,,,,,,,1.0,2023-12-20
26439,BGCDC Allied Branch,,,,,,,,,,1.0,2022-12-14
1469,BGCDC Taft Branch,1989-05-10 00:00:00,Home,53551,,5.0,,,,Unknown,0.0,
30508,BGCDC Allied Branch,2020-01-10 00:00:00,,,,1.0,,,,Unknown,0.0,
1470,BGCDC Taft Branch,1996-09-10 00:00:00,Home,53551,,5.0,,,,Unknown,0.0,
28596,BGCDC Allied Branch,2011-01-25 00:00:00,Home,53713,4.0,1.0,Both Parents,Both Parents,"$25,000-$49,999",Economically Disadvantaged,3.0,2023-10-03
15998,BGCDC Allied Branch,2011-01-25 00:00:00,,,,,,,,,0.0,
15343,BGCDC Allied Branch,1982-09-01 00:00:00,,,,,,,,,0.0,
19849,BGCDC Taft Branch,2008-02-14 00:00:00,Apartment,53713,4.0,1.0,Both Parents,,"$24,999 and under",Economically Disadvantaged,0.0,
15997,BGCDC Allied Branch,2008-02-14 00:00:00,Apartment,53713,4.0,1.0,Both Parents,,"$24,999 and under",Economically Disadvantaged,0.0,
7084,BGCDC Allied Branch,2011-09-06 00:00:00,Apartment,53711,6.0,2.0,,Guardian,,Unknown,0.0,
15995,BGCDC Allied Branch,1998-11-04 00:00:00,,,,,,,,,0.0,
3813,BGCDC Taft Branch,1994-09-03 00:00:00,Home,53714,,1.0,,Both Parents,,Unknown,0.0,
2164,BGCDC Allied Branch,1994-09-03 00:00:00,Home,53714,,1.0,,Both Parents,,Unknown,0.0,
1653,BGCDC Taft Branch,1988-11-20 00:00:00,Home,53575,,1.0,,,,Unknown,0.0,
8344,BGCDC Taft Branch,2000-07-20 00:00:00,,,,2.0,,,,Unknown,0.0,
3216,BGCDC Taft Branch,1990-12-14 00:00:00,Home,53574,,1.0,,Mother,,Unknown,0.0,
25487,BGCDC Sun Prairie,1983-08-10 00:00:00,,,,,,,,,1.0,2022-08-18
8077,BGCDC Taft Branch,2000-03-20 00:00:00,,,,2.0,,,,Unknown,0.0,
17505,BGCDC Taft Branch,1950-11-11 00:00:00,,,,,,,,,0.0,
25382,BGCDC Taft Branch,2009-09-29 00:00:00,,,,,,,,,2.0,2022-08-18
14687,BGCDC Allied Branch,2020-09-29 00:00:00,,,,,,,,,0.0,
30322,BGCDC Allied Branch,2006-08-03 00:00:00,,,,1.0,,,,Unknown,0.0,
14685,BGCDC Allied Branch,2006-08-03 00:00:00,,,,,,,,,0.0,
25379,BGCDC Taft Branch,2006-08-03 00:00:00,,,,,,,,,2.0,2022-08-18
15028,BGCDC Allied Branch,2020-04-09 00:00:00,,,,,,,,,0.0,
25380,BGCDC Taft Branch,2005-04-02 00:00:00,,,,,,,,,2.0,2022-08-18
30324,BGCDC Allied Branch,2009-09-29 00:00:00,,,,1.0,,,,Unknown,2.0,2023-12-11
30321,BGCDC Allied Branch,2005-04-09 00:00:00,,,,1.0,,,,Unknown,0.0,
17416,BGCDC Taft Branch,1984-12-27 00:00:00,,,,,,,,,0.0,
33089,BGCDC Taft Branch,2006-12-16 00:00:00,,,5.0,2.0,Both Parents,Both Parents,Unknown,Economically Disadvantaged,8.0,2024-06-25
19894,BGCDC Allied Branch,2006-12-16 00:00:00,,,5.0,2.0,Both Parents,Both Parents,Unknown,Economically Disadvantaged,2.0,2022-01-15
3752,BGCDC Allied Branch,1999-06-10 00:00:00,Apartment,53719,4.0,4.0,,Mother/ Other,"$25,000-$49,999",Economically Disadvantaged,0.0,
14686,BGCDC Allied Branch,2008-04-13 00:00:00,,,,,,,,,0.0,
25381,BGCDC Taft Branch,2008-04-23 00:00:00,,,,,,,,,2.0,2022-08-18
2672,BGCDC Allied Branch,1994-05-03 00:00:00,Apartment,53711,,1.0,,Both Parents,,Unknown,0.0,
29061,BGCDC Allied Branch,,,,,,,,,,0.0,
17410,BGCDC Taft Branch,1962-03-10 00:00:00,,,,,,,,,0.0,
6956,BGCDC Allied Branch,,Apartment,53719,4.0,4.0,,Mother/ Other,"$25,000-$49,999",Economically Disadvantaged,0.0,
95,BGCDC Taft Branch,1994-08-10 00:00:00,,,,2.0,,Mother,,Unknown,0.0,
12178,BGCDC Sun Prairie,1965-03-14 00:00:00,,,,,,,,,0.0,
19500,BGCDC Walco,1994-06-12 00:00:00,,,,,,,,,35.0,2021-10-09
1589,BGCDC Taft Branch,1991-08-13 00:00:00,Home,53713,,1.0,,,,Unknown,0.0,
4912,BGCDC Allied Branch,1999-06-05 00:00:00,Apartment,53593,3.0,2.0,,Unknown,Unknown,Economically Disadvantaged,0.0,
4914,BGCDC Allied Branch,1998-04-26 00:00:00,Apartment,53593,3.0,2.0,,Unknown,Unknown,Economically Disadvantaged,0.0,
22641,BGCDC Allied Branch,1962-05-02 00:00:00,,,,,,,,,2.0,2022-01-15
23354,BGCDC Allied Branch,1980-05-02 00:00:00,,,,,,,,,2.0,2022-01-15
20664,BGCDC Allied Branch,1980-05-02 00:00:00,,,,,,,,,2.0,2022-01-15
20663,BGCDC Allied Branch,1960-05-23 00:00:00,,,,,,,,,2.0,2022-01-15
23353,BGCDC Allied Branch,1960-05-23 00:00:00,,,,,,,,,2.0,2022-01-15
27966,BGCDC Walco,,,,,,,,,,1.0,2023-08-07
4686,BGCDC Allied Branch,1999-02-02 00:00:00,Apartment,53593,3.0,12.0,,Unknown,Unknown,Economically Disadvantaged,0.0,
11532,BGCDC Walco,1972-07-25 00:00:00,,,,,,,,,5.0,2022-10-08
7440,BGCDC Taft Branch,2000-08-24 00:00:00,,,,2.0,,,,Unknown,0.0,
7441,BGCDC Taft Branch,1999-11-18 00:00:00,,,,2.0,,,,Unknown,0.0,
11166,BGCDC Sun Prairie,2007-08-14 00:00:00,,,,,,,,,12.0,2020-12-15
11167,BGCDC Sun Prairie,2015-09-06 00:00:00,,,,,,,,,13.0,2020-12-15
30323,BGCDC Allied Branch,2008-04-13 00:00:00,,,,1.0,,,,Unknown,0.0,
19062,BGCDC Sun Prairie,2014-08-07 00:00:00,Home,53590,,1.0,,,,Unknown,0.0,
21527,BGCDC Allied Branch,,,,,,,,,,2.0,2022-01-15
24956,BGCDC Allied Branch,1988-05-10 00:00:00,,,,,,,,,0.0,
10786,BGCDC Allied Branch,2004-02-04 00:00:00,Home,53704,3.0,1.0,Single Parent,Mother,"$25,000-$49,999",Economically Disadvantaged,1.0,2020-01-08
11553,BGCDC Walco,1964-04-02 00:00:00,,,,,,,,,17.0,2022-01-29
11613,BGCDC Walco,1973-02-27 00:00:00,,,,,,,,,4.0,2022-01-29
26026,BGCDC Allied Branch,1975-01-26 00:00:00,,,,,,,,,1.0,2022-11-17
17066,BGCDC Allied Branch,1975-01-26 00:00:00,,,,,,,,,0.0,
15722,BGCDC Allied Branch,1975-01-26 00:00:00,,,,,,,,,0.0,
15855,BGCDC Allied Branch,2008-08-08 00:00:00,,,,,,,,,0.0,
15857,BGCDC Allied Branch,2003-09-02 00:00:00,,,,,,,,,0.0,
15854,BGCDC Allied Branch,2007-06-10 00:00:00,,,,,,,,,0.0,
15856,BGCDC Allied Branch,1992-03-19 00:00:00,,,,,,,,,0.0,
4203,BGCDC Allied Branch,1997-01-23 00:00:00,Home,53593,3.0,2.0,,Both Parents,Unknown,Economically Disadvantaged,0.0,
3753,BGCDC Allied Branch,1997-12-21 00:00:00,Home,53711,4.0,3.0,,Mother,"$24,999 and under",Economically Disadvantaged,0.0,
862,BGCDC Allied Branch,1998-01-08 00:00:00,Home,53719,4.0,3.0,,,"$24,999 and under",Economically Disadvantaged,0.0,
2723,BGCDC Allied Branch,1994-08-01 00:00:00,Apartment,53711,,1.0,,Both Parents,,Unknown,0.0,
10572,BGCDC Taft Branch,2007-08-21 00:00:00,Apartment,53713,3.0,2.0,unknown,Unknown,Unknown,Economically Disadvantaged,0.0,
3089,BGCDC Taft Branch,1998-01-01 00:00:00,Home,53713,,1.0,,Guardian,,Unknown,0.0,
26100,BGCDC Taft Branch,2004-09-12 00:00:00,,,,,,,,,2.0,2022-11-17
10562,BGCDC Taft Branch,2007-01-09 00:00:00,Home,53713,6.0,3.0,Two Parents,Mother/Step-Parent,"$25,000-$49,999",Economically Disadvantaged,0.0,
512,BGCDC Taft Branch,1991-04-25 00:00:00,,,,3.0,,Both Parents,,Unknown,0.0,
2395,BGCDC Taft Branch,1997-08-01 00:00:00,Home,53715,9.0,4.0,,Both Parents,"$24,999 and under",Economically Disadvantaged,0.0,
1990,BGCDC Taft Branch,1998-02-24 00:00:00,Home,53713,,3.0,,,"$24,999 and under",Unknown,0.0,
2393,BGCDC Taft Branch,1993-04-02 00:00:00,Home,53715,9.0,4.0,,Both Parents,"$24,999 and under",Economically Disadvantaged,0.0,
19191,BGCDC Allied Branch,2019-07-06 00:00:00,,,,,,,,,1.0,2021-12-18
26324,BGCDC Allied Branch,2006-05-18 00:00:00,,,,,,,,,1.0,2022-12-14
26464,BGCDC Allied Branch,,,,,,,,,,1.0,2022-12-14
26322,BGCDC Allied Branch,2001-02-02 00:00:00,,,,,,,,,1.0,2022-12-14
2910,BGCDC Allied Branch,1996-03-15 00:00:00,Home,,,1.0,,Both Parents,,Unknown,0.0,
26323,BGCDC Allied Branch,2019-10-01 00:00:00,,,,,,,,,1.0,2022-12-14
28465,BGCDC Allied Branch,,,,,,,,,,0.0,
26086,BGCDC Taft Branch,1974-12-31 00:00:00,,,,,,,,,1.0,2022-11-17
19352,BGCDC Allied Branch,,Apartment,53713,3.0,2.0,,Mother,"$24,999 and under",Economically Disadvantaged,2.0,2022-01-15
26120,BGCDC Taft Branch,1974-12-31 00:00:00,,,,,,,,,1.0,2022-11-17
29062,BGCDC Allied Branch,,,,,,,,,,0.0,
22305,BGCDC Allied Branch,1964-06-21 00:00:00,,,,,,,,,2.0,2022-01-15
7357,BGCDC Taft Branch,2000-02-09 00:00:00,,,,2.0,,,,Unknown,0.0,
5974,BGCDC Allied Branch,2003-05-21 00:00:00,Home,53711,6.0,2.0,,Both Parents,Unknown,Economically Disadvantaged,0.0,
4080,BGCDC Allied Branch,1997-10-02 00:00:00,Apartment,53590,3.0,3.0,,Both Parents,Unknown,Economically Disadvantaged,0.0,
5534,BGCDC Taft Branch,1999-12-12 00:00:00,,,,1.0,,Unknown,,Unknown,0.0,
5654,BGCDC Taft Branch,1999-12-15 00:00:00,,,,1.0,,Unknown,,Unknown,0.0,
14323,BGCDC Allied Branch,1993-02-17 00:00:00,,,,,,,,,0.0,
1785,BGCDC Taft Branch,1996-04-19 00:00:00,Home,53718,,3.0,,Both Parents,,Unknown,0.0,
3808,BGCDC Allied Branch,2000-11-26 00:00:00,Apartment,53719,4.0,3.0,,Both Parents,"$25,000-$49,999",Economically Disadvantaged,0.0,
9895,BGCDC Allied Branch,2000-11-26 00:00:00,,,4.0,2.0,14.01,Mother,"$24,999 and under",Economically Disadvantaged,0.0,
29395,BGCDC Allied Branch,,,,,,,,,,0.0,
29394,BGCDC Allied Branch,,,,,,,,,,0.0,
28440,BGCDC Allied Branch,,,,,,,,,,0.0,
10764,BGCDC Allied Branch,2007-05-11 00:00:00,,,,,,,,,1.0,2020-01-06
23819,BGCDC Allied Branch,,,,,,,,,,2.0,2022-01-15
5976,BGCDC Allied Branch,1999-04-01 00:00:00,Home,53713,5.0,2.0,,Both Parents,Unknown,Economically Disadvantaged,0.0,
2588,BGCDC Allied Branch,1994-03-15 00:00:00,Apartment,53711,,1.0,,Both Parents,,Unknown,0.0,
30568,BGCDC Allied Branch,2010-10-13 00:00:00,,,,1.0,,,,Unknown,2.0,2023-12-21
14851,BGCDC Allied Branch,1995-07-27 00:00:00,,,,,,,,,0.0,
25162,BGCDC Allied Branch,2013-08-03 00:00:00,,,,,,,,,1.0,2022-08-18
14849,BGCDC Allied Branch,1985-10-02 00:00:00,,,,,,,,,0.0,
14852,BGCDC Allied Branch,2017-12-15 00:00:00,,,,,,,,,0.0,
14486,BGCDC Allied Branch,1981-07-03 00:00:00,,,,,,,,,0.0,
26049,BGCDC Allied Branch,1981-07-03 00:00:00,,,,,,,,,1.0,2022-11-17
25079,BGCDC Allied Branch,1981-07-03 00:00:00,,,,,,,,,1.0,2022-08-18
15141,BGCDC Allied Branch,1981-02-01 00:00:00,,,,,,,,,0.0,
14853,BGCDC Allied Branch,2008-05-20 00:00:00,,,,,,,,,0.0,
24301,BGCDC Allied Branch,1971-01-16 00:00:00,,,,,,,,,2.0,2022-01-15
24302,BGCDC Allied Branch,1971-08-15 00:00:00,,,,,,,,,2.0,2022-01-15
6658,BGCDC Allied Branch,2005-12-07 00:00:00,Apartment,53711,3.0,3.0,,Both Parents,"$24,999 and under",Economically Disadvantaged,0.0,
24377,BGCDC Allied Branch,,,,,,,,,,2.0,2022-01-15
24376,BGCDC Allied Branch,1982-11-01 00:00:00,,,,,,,,,2.0,2022-01-15
6601,BGCDC Taft Branch,1997-01-25 00:00:00,,,,2.0,,,,Unknown,0.0,
8343,BGCDC Taft Branch,2000-10-26 00:00:00,,,,2.0,,,,Unknown,0.0,
2505,BGCDC Allied Branch,2000-08-15 00:00:00,Home,53719,,1.0,,Both Parents,,Unknown,0.0,
2504,BGCDC Allied Branch,2002-10-01 00:00:00,Home,53719,,1.0,,Both Parents,,Unknown,0.0,
4385,BGCDC Taft Branch,2002-10-01 00:00:00,Home,53719,,1.0,,Both Parents,,Unknown,0.0,
3964,BGCDC Taft Branch,2000-08-15 00:00:00,Home,53719,4.0,3.0,107.02,Both Parents,"$50,000-$74,999",Economically Disadvantaged,0.0,
21495,BGCDC Allied Branch,,,,,,,,,,2.0,2022-01-15
27679,BGCDC Allied Branch,2008-02-05 00:00:00,,,,,,,,,2.0,2023-02-01
19913,BGCDC Allied Branch,2005-07-02 00:00:00,,,5.0,2.0,Both Parents,Both Parents,"$24,999 and under",Economically Disadvantaged,9.0,2022-01-26
9493,BGCDC Allied Branch,2004-06-03 00:00:00,,,,,,,,,0.0,
30584,BGCDC Allied Branch,2013-10-19 00:00:00,,,,1.0,,,,Unknown,0.0,
30583,BGCDC Allied Branch,2010-06-12 00:00:00,,,,1.0,,,,Unknown,1.0,2023-12-21
30585,BGCDC Allied Branch,2005-08-03 00:00:00,,,,1.0,,,,Unknown,0.0,
30586,BGCDC Allied Branch,1976-09-05 00:00:00,,,,1.0,,,,Unknown,0.0,
27283,BGCDC Walco,2011-05-18 00:00:00,,,,,,,,,16.0,2023-02-08
11635,BGCDC Walco,2011-05-18 00:00:00,,,,,,,,,145.0,2021-11-20
17906,BGCDC Walco,2015-05-20 00:00:00,,,,,,,,,0.0,
2768,BGCDC Allied Branch,2005-06-07 00:00:00,Apartment,,,1.0,,Father,,Unknown,0.0,
18062,BGCDC Sun Prairie,1986-05-03 00:00:00,,,,,,,,,0.0,
26775,BGCDC Walco,1977-12-24 00:00:00,,,,,,,,,1.0,2022-05-21
11634,BGCDC Walco,2004-01-26 00:00:00,,,,,,,,,0.0,
1675,BGCDC Allied Branch,1993-10-20 00:00:00,Home,53711,,1.0,,Both Parents,,Unknown,0.0,
26772,BGCDC Walco,2014-05-14 00:00:00,,,,,,,,,1.0,2022-05-21
26774,BGCDC Walco,2018-06-19 00:00:00,,,,,,,,,1.0,2022-05-21
26773,BGCDC Walco,2017-05-31 00:00:00,,,,,,,,,1.0,2022-05-21
16756,BGCDC Walco,2009-07-15 00:00:00,,,,,,,,,79.0,2022-01-06
10261,BGCDC Walco,2007-07-27 00:00:00,,,,,,,,,40.0,2023-02-01
26771,BGCDC Walco,1986-03-18 00:00:00,,,,,,,,,1.0,2022-05-21
11637,BGCDC Walco,1990-05-15 00:00:00,,,,,,,,,0.0,
2235,BGCDC Allied Branch,2004-01-26 00:00:00,Home,53711,4.0,2.0,Both Parents,Both Parents,"$50,000-$74,999",Economically Disadvantaged,0.0,
26776,BGCDC Walco,2017-07-21 00:00:00,,,,,,,,,24.0,2022-08-31
15284,BGCDC Allied Branch,1961-02-06 00:00:00,,,,,,,,,0.0,
10262,BGCDC Walco,2004-11-23 00:00:00,,,,,,,,,0.0,
22592,BGCDC Allied Branch,1960-09-06 00:00:00,,,,,,,,,2.0,2022-01-15
22082,BGCDC Allied Branch,1948-11-20 00:00:00,,,,,,,,,2.0,2022-01-15
7138,BGCDC Taft Branch,1999-04-03 00:00:00,,,,2.0,,,,Unknown,0.0,
18063,BGCDC Sun Prairie,1988-01-14 00:00:00,,,,,,,,,0.0,
18653,BGCDC Sun Prairie,2005-01-17 00:00:00,Home,53716,5.0,2.0,Single Parent,Mother/ Other,"$24,999 and under",Economically Disadvantaged,2.0,2021-09-04
25700,BGCDC Sun Prairie,2005-01-17 00:00:00,,,,,,,,,1.0,2022-08-18
7442,BGCDC Taft Branch,2000-06-08 00:00:00,,,,2.0,,,,Unknown,0.0,
21218,BGCDC Allied Branch,1957-08-31 00:00:00,,,,,,,,,2.0,2022-01-15
20344,BGCDC Allied Branch,1999-04-15 00:00:00,,,,,,,,,2.0,2022-01-15
23675,BGCDC Allied Branch,1983-01-01 00:00:00,,,,,,,,,2.0,2022-01-15
20343,BGCDC Allied Branch,1983-01-01 00:00:00,,,,,,,,,2.0,2022-01-15
20431,BGCDC Allied Branch,1958-05-25 00:00:00,,,,,,,,,2.0,2022-01-15
7675,BGCDC Taft Branch,1998-10-18 00:00:00,,,,2.0,,,,Unknown,0.0,
1397,BGCDC Allied Branch,2000-07-04 00:00:00,Home,53711,,1.0,,Unknown,,Unknown,0.0,
2249,BGCDC Allied Branch,2000-07-12 00:00:00,Apartment,53713,,1.0,,Both Parents,,Unknown,0.0,
942,BGCDC Taft Branch,1993-08-01 00:00:00,,,,3.0,,Both Parents,,Unknown,0.0,
17314,BGCDC Taft Branch,1960-09-07 00:00:00,,,,,,,,,0.0,
10579,BGCDC Allied Branch,2019-11-08 00:00:00,Apartment,53711,,2.0,,,,Unknown,0.0,
17160,BGCDC Taft Branch,2001-12-19 00:00:00,,,,,,,,,0.0,
4027,BGCDC Taft Branch,2003-09-08 00:00:00,Home,53703,4.0,4.0,,Mother,"$24,999 and under",Economically Disadvantaged,0.0,
6606,BGCDC Allied Branch,2006-08-17 00:00:00,Apartment,53713,5.0,2.0,,Both Parents,"$24,999 and under",Economically Disadvantaged,0.0,
9251,BGCDC Allied Branch,2000-06-04 00:00:00,,,,,,,,,2.0,2022-01-15
817,BGCDC Taft Branch,1990-12-05 00:00:00,,,,3.0,,Mother,,Unknown,0.0,
4441,BGCDC Taft Branch,2000-02-23 00:00:00,Home,53716,4.0,2.0,,Mother,"$24,999 and under",Economically Disadvantaged,0.0,
4006,BGCDC Taft Branch,2000-10-19 00:00:00,Home,53713,4.0,3.0,,Mother,"$25,000-$49,999",Economically Disadvantaged,0.0,
4440,BGCDC Taft Branch,2003-01-13 00:00:00,Home,53713,4.0,3.0,,Mother,"$25,000-$49,999",Economically Disadvantaged,0.0,
9984,BGCDC Allied Branch,2011-11-05 00:00:00,Apartment,53115,4.0,2.0,Single Parent,Mother Only,"$24,999 and under",Economically Disadvantaged,0.0,
10302,BGCDC Walco,2011-11-05 00:00:00,Apartment,53115,4.0,2.0,Single Parent,Mother Only,"$24,999 and under",Economically Disadvantaged,0.0,
2849,BGCDC Taft Branch,1992-01-01 00:00:00,Home,53714,,1.0,,Unknown,,Unknown,0.0,
29064,BGCDC Allied Branch,,,,,,,,,,0.0,
29063,BGCDC Allied Branch,,,,,,,,,,0.0,
2025,BGCDC Allied Branch,1998-08-17 00:00:00,Apartment,53704,,1.0,,Both Parents,,Unknown,0.0,
5978,BGCDC Allied Branch,1998-07-17 00:00:00,,,5.0,3.0,,,,Unknown,0.0,
7083,BGCDC Allied Branch,2009-12-15 00:00:00,Apartment,53711,4.0,3.0,Single Parent,Mother/ Other,"$25,000-$49,999",Economically Disadvantaged,5.0,2020-01-06
307,BGCDC Allied Branch,1998-01-22 00:00:00,Home,,5.0,2.0,,,"$25,000-$49,999",Economically Disadvantaged,0.0,
2249,BGCDC Taft Branch,1998-01-22 00:00:00,Home,,5.0,2.0,,,"$25,000-$49,999",Economically Disadvantaged,0.0,
3748,BGCDC Taft Branch,2000-05-10 00:00:00,Home,53713,6.0,5.0,14.01,Both Parents,"$24,999 and under",Economically Disadvantaged,0.0,
3747,BGCDC Taft Branch,2001-08-25 00:00:00,Home,53713,6.0,5.0,14.01,Both Parents,"$24,999 and under",Economically Disadvantaged,0.0,
3746,BGCDC Taft Branch,2004-02-17 00:00:00,Home,53713,6.0,5.0,14.01,Both Parents,"$24,999 and under",Economically Disadvantaged,0.0,
30020,BGCDC Allied Branch,,,,,,,,,,0.0,
30058,BGCDC Allied Branch,,,,,,,,,,0.0,
30927,BGCDC Allied Branch,,,,,1.0,,,,Unknown,0.0,
2296,BGCDC Taft Branch,1998-05-13 00:00:00,Home,53713,14.0,4.0,,Mother/ Other,"$24,999 and under",Economically Disadvantaged,0.0,
2297,BGCDC Taft Branch,1999-04-28 00:00:00,Home,53713,14.0,4.0,,Mother/ Other,"$24,999 and under",Economically Disadvantaged,0.0,
25466,BGCDC Taft Branch,2013-10-28 00:00:00,,,,,,,,,2.0,2022-08-18
25467,BGCDC Taft Branch,2016-08-07 00:00:00,,,,,,,,,2.0,2022-08-18
25465,BGCDC Taft Branch,2010-01-08 00:00:00,,,,,,,,,2.0,2022-08-18
21712,BGCDC Allied Branch,1981-07-19 00:00:00,,,,,,,,,2.0,2022-01-15
20639,BGCDC Allied Branch,1992-10-28 00:00:00,,,,,,,,,2.0,2022-01-15
1450,BGCDC Taft Branch,1987-12-30 00:00:00,Home,53713,,2.0,,,,Unknown,0.0,
2783,BGCDC Allied Branch,1993-12-09 00:00:00,Apartment,53711,,1.0,,Both Parents,,Unknown,0.0,
5451,BGCDC Taft Branch,1996-12-13 00:00:00,,,,1.0,,Unknown,,Unknown,0.0,
7116,BGCDC Allied Branch,2006-08-29 00:00:00,Apartment,53704,5.0,2.0,Both Parents,Both Parents,"$25,000-$49,999",Economically Disadvantaged,0.0,
21711,BGCDC Allied Branch,2004-02-05 00:00:00,,,,,,,,,2.0,2022-01-15
24019,BGCDC Allied Branch,1978-06-15 00:00:00,,,,,,,,,2.0,2022-01-15
21708,BGCDC Allied Branch,2000-01-20 00:00:00,,,,,,,,,2.0,2022-01-15
24357,BGCDC Allied Branch,1939-12-29 00:00:00,,,,,,,,,2.0,2022-01-15
26082,BGCDC Taft Branch,1977-06-06 00:00:00,,,,,,,,,1.0,2022-11-17
30526,BGCDC Allied Branch,,,,,1.0,,,,Unknown,0.0,
3076,BGCDC Allied Branch,2004-03-01 00:00:00,Apartment,53719,,1.0,,Both Parents,,Unknown,0.0,
2631,BGCDC Allied Branch,1995-10-08 00:00:00,Home,53719,4.0,2.0,,Both Parents,"$24,999 and under",Economically Disadvantaged,0.0,
18064,BGCDC Sun Prairie,1992-08-22 00:00:00,,,,,,,,,0.0,
4916,BGCDC Allied Branch,1999-11-01 00:00:00,Home,53593,3.0,2.0,,Unknown,Unknown,Economically Disadvantaged,0.0,
1557,BGCDC Allied Branch,1997-07-02 00:00:00,Home,53713,,2.0,,,,Unknown,0.0,
1459,BGCDC Taft Branch,1997-07-02 00:00:00,Home,53713,,2.0,,,,Unknown,0.0,
1494,BGCDC Taft Branch,1995-08-24 00:00:00,Home,53713,3.0,2.0,14.02,Mother,"$24,999 and under",Economically Disadvantaged,0.0,
9905,BGCDC Allied Branch,2009-06-20 00:00:00,Home,53115,2.0,2.0,Single Parent,Mother Only,"$50,000-$74,999",Economically Disadvantaged,0.0,
10138,BGCDC Walco,2009-06-20 00:00:00,Home,53115,2.0,2.0,Single Parent,Mother Only,"$50,000-$74,999",Economically Disadvantaged,0.0,
8180,BGCDC Taft Branch,2000-01-30 00:00:00,,,,2.0,,,,Unknown,0.0,
14622,BGCDC Allied Branch,2014-08-02 00:00:00,,,,,,,,,0.0,
679,BGCDC Taft Branch,1992-02-29 00:00:00,,,,2.0,,Mother,,Unknown,0.0,
20071,BGCDC Allied Branch,1951-01-23 00:00:00,,,,,,,,,2.0,2022-01-15
5088,BGCDC Taft Branch,2000-09-26 00:00:00,Home,53719,,1.0,,Both Parents,,Unknown,0.0,
644,BGCDC Allied Branch,1999-03-01 00:00:00,Home,53711,,7.0,,,"$24,999 and under",Unknown,0.0,
